SCHOOLNAME,RPI,RECORD,NONCONFRPI,NONCONFRECORD,CONFRPI,CONFRECORD,ROAD,L10,1-50,51-100,101-200,200-999,VTOP100,VBELOWO164
Maine,218,12-16,206,4-7,25,8-9,3-9,6-4,0-1,0-2,2-8,10-5,0-3,12-6
Wofford,219,10-15,269,1-6,19,9-9,5-10,5-5,0-1,0-5,4-5,6-4,0-6,7-4
IllinoisSt.,220,8-21,163,2-7,14,6-14,2-11,5-5,0-6,0-4,3-8,5-3,0-10,7-4
ArkansasSt.,221,11-15,244,5-6,15,6-9,3-9,5-5,0-0,1-3,3-10,7-2,1-3,7-5
Northeastern,222,14-15,236,5-6,25,9-9,4-10,5-5,1-1,0-2,3-6,10-6,1-3,11-9
StFrancis(Pa.),223,14-14,222,4-5,28,10-9,5-9,5-5,0-1,0-3,2-4,12-6,0-4,14-10
Lehigh,224,14-12,235,6-5,26,8-7,4-9,3-7,0-1,0-3,1-2,13-6,0-4,14-8
CharlestonSo.,225,12-14,190,4-7,29,8-7,5-9,3-7,0-1,1-3,1-5,10-5,1-4,11-10
CalStNorthridge,226,13-15,181,5-4,20,8-11,4-10,5-5,0-1,1-3,2-6,10-5,1-4,11-7
LoyolaMarymount,227,11-19,205,6-8,10,5-11,1-10,4-6,1-1,0-4,2-11,8-3,1-5,9-4
JamesMadison,228,12-17,258,3-6,17,9-11,4-8,5-5,0-0,0-5,5-9,7-3,0-5,9-6
StPeter's,229,10-19,226,3-6,16,7-13,3-10,4-6,0-2,1-4,2-7,7-6,1-6,9-7
WashingtonSt.,230,7-20,187,5-4,7,2-16,0-12,2-8,0-9,1-3,2-7,4-1,1-12,5-3
Jacksonville,231,12-16,275,4-7,22,8-9,3-9,4-6,0-1,0-6,3-4,9-5,0-7,11-6
Furman,232,11-17,227,3-8,19,8-9,2-10,6-4,0-4,0-2,3-3,8-8,0-6,8-8
Portland,233,10-17,192,6-6,10,4-11,5-9,3-7,1-2,0-3,1-10,8-2,1-5,8-2
Tenn.-Martin,234,10-14,166,3-4,21,7-10,5-10,3-7,0-1,2-2,1-10,7-1,2-3,7-3
Bucknell,235,13-15,259,5-7,26,8-8,4-9,4-6,0-2,0-3,2-4,11-6,0-5,12-9
Wis.-GreenBay,236,9-19,147,5-6,13,4-13,0-12,3-7,0-5,2-3,2-5,5-6,2-8,5-7
StFrancis(N.Y.),237,14-16,274,3-6,28,11-10,2-14,8-2,0-1,1-2,2-2,11-11,1-3,13-13
WrightSt.,238,9-18,184,5-5,13,4-13,0-12,3-7,0-2,0-5,5-6,4-5,0-7,5-5
