SCHOOLNAME,RPI,OPPRPI,OPPRANK,RECORD,NONCONFRECORD,CONFRECORD,ROAD,SOS,NCSOS,Q1,Q2,Q3,Q4
NewOrleans,335,225,266,5-21,5-15,0-6,3-13,258,5,0-4,0-2,0-4,5-11
SIUE,336,235,304,6-23,5-13,1-10,4-13,319,313,0-1,1-2,0-7,5-13
AlabamaSt.,337,224,265,8-24,7-12,1-12,3-16,304,55,0-5,0-3,0-4,8-12
UTMartin,338,221,255,7-20,5-13,2-7,2-12,244,23,0-3,0-2,1-4,6-11
TheCitadel,339,174,148,3-24,0-19,3-5,3-12,186,318,0-4,0-4,0-9,3-7
AlabamaA&M,340,253,339,8-22,5-14,3-8,2-16,349,229,0-2,0-2,0-5,8-13
SoutheasternLa.,341,237,309,5-23,5-15,0-8,2-14,318,237,0-1,0-2,0-8,5-12
SoutheastMoSt.,342,238,310,5-24,3-15,2-9,0-16,334,325,0-1,0-1,0-9,5-13
HolyCross,343,203,216,3-28,2-17,1-11,0-16,174,119,0-1,0-1,1-14,2-12
HoustonBaptist,344,218,248,4-25,4-16,0-9,2-15,249,37,0-4,0-2,0-6,4-13
DelawareSt.,345,261,351,5-25,5-13,0-12,2-12,340,215,0-1,0-2,0-1,5-21
IncarnateWord,346,250,336,6-22,6-14,0-8,2-13,331,320,0-0,0-4,0-4,6-14
CentralConnSt.,347,218,248,3-27,3-15,0-12,0-16,268,281,0-3,0-2,0-6,3-16
Ark.-PineBluff,348,229,283,3-26,3-15,0-11,2-18,312,52,0-2,0-7,0-2,3-15
Howard,349,246,327,3-28,2-16,1-12,1-14,324,130,0-1,0-2,0-6,3-19
UMES,350,234,300,4-27,4-13,0-14,1-20,328,97,0-5,0-1,0-5,4-16
MississippiVal.,351,243,321,3-27,3-15,0-12,2-19,335,183,0-0,0-6,0-6,3-15
KennesawSt.,352,202,215,1-28,0-16,1-12,0-16,183,44,0-3,0-4,0-4,1-17
ChicagoSt.,353,211,232,1-25,0-14,1-11,1-12,265,263,0-2,0-3,0-3,1-17
