SCHOOLNAME,RPI,OPPRPI,OPPRANK,RECORD,NONCONFRPI,NONCONFRECORD,CONFRPI,CONFRECORD,ROAD,L10,1-50,51-100,101-200,201-999,VTOP100,VBELOW201
Kentucky,57,117,56,18-12,152,6-7,4,12-5,4-6,9-3,4-6,1-4,7-2,6-0,5-10,8-1
LSU,173,115,48,12-18,194,6-7,4,6-11,3-8,6-6,1-8,1-4,6-6,4-0,2-12,7-3
La Salle,163,141,103,14-17,246,5-8,7,9-9,8-7,7-5,2-5,0-5,6-5,6-2,2-10,9-3
La.-Lafayette,182,184,200,14-15,201,3-7,15,11-8,6-8,7-5,0-3,0-3,4-5,10-4,0-6,12-7
La.-Monroe,251,164,143,7-21,183,3-6,15,4-15,3-14,3-9,0-7,0-1,3-7,4-6,0-8,6-10
Lafayette,175,190,221,15-15,151,9-6,16,6-9,7-9,3-9,0-2,1-2,3-5,11-6,1-4,13-8
Lamar,151,188,214,15-11,232,4-7,17,11-4,5-8,9-3,0-2,1-3,4-3,10-3,1-5,13-5
Lehigh,245,207,272,14-15,288,7-7,16,7-8,3-11,6-6,0-0,0-4,3-5,11-6,0-4,13-10
Liberty,256,225,319,13-16,296,5-8,28,8-8,3-12,5-7,0-0,0-4,2-4,11-8,0-4,11-8
Lipscomb,225,213,287,14-16,237,9-9,23,5-7,5-10,7-5,0-2,0-2,3-7,11-5,0-4,13-8
Long Beach St.,323,187,210,6-25,331,3-11,19,3-14,1-15,2-10,0-1,0-5,0-10,6-9,0-6,6-12
Long Island,202,213,287,15-15,142,8-3,24,7-12,5-10,5-7,0-1,0-0,2-12,13-2,0-1,14-10
Longwood,322,213,287,6-22,316,4-20,32,2-2,2-15,5-7,0-2,0-1,0-6,6-13,0-3,6-15
Louisiana Tech,329,194,232,6-24,325,3-10,20,3-14,0-12,3-9,0-1,0-7,1-5,5-11,0-8,6-13
Louisville,13,96,5,24-8,15,10-3,5,14-5,8-3,9-3,7-6,4-0,8-2,5-0,11-6,9-0
Loyola (Ill.),222,152,120,10-19,261,3-6,11,7-13,4-12,6-6,0-3,3-3,3-10,4-3,3-6,7-4
Loyola (Md.),142,184,200,19-14,203,6-7,18,13-7,6-11,8-4,0-2,3-1,5-8,11-3,3-3,14-5
Loyola Marymount,308,171,161,5-26,289,3-13,14,2-13,2-13,1-11,0-6,1-6,0-5,4-9,1-12,4-13
Maine,327,209,279,6-23,312,3-9,27,3-14,4-10,2-10,0-1,1-2,1-9,4-11,1-3,5-18
